DataMonth|DMISID|QuestionNum|Value1|Value2
2022-02-01|0001|B.1.a|3.3.9 CF 8.2.1|
2022-02-01|0001|B.1.b|4.630 CP 452|
2022-02-01|0001|B.1.c|213.03.0029|
2022-02-01|0001|B.4.e||
2022-02-01|0001|B.5.a|3157|3317
2022-02-01|0001|B.5.b||
2022-02-01|0001|B.5.d|3412|3811
2022-02-01|0001|B.8.b||
2022-02-01|0001|C.1.e|536|596
2022-02-01|0001|C.1.f|511|597
2022-02-01|0001|C.11.a|65|
2022-02-01|0001|C.11.a.1|11|
2022-02-01|0001|C.11.a.10||
2022-02-01|0001|C.11.a.11||
2022-02-01|0001|C.11.a.12||
2022-02-01|0001|C.11.a.2|7|
2022-02-01|0001|C.11.a.3|1|
2022-02-01|0001|C.11.a.4|11|
2022-02-01|0001|C.11.a.5|35|
2022-02-01|0001|C.11.a.6||
2022-02-01|0001|C.11.a.7||
2022-02-01|0001|C.11.a.8||
2022-02-01|0001|C.11.a.9||
2022-02-01|0001|C.11.b|577|
2022-02-01|0001|C.11.b.1|335|
2022-02-01|0001|C.11.b.2|242|
2022-02-01|0001|C.12.a||
2022-02-01|0001|C.12.a.1||
2022-02-01|0001|C.12.a.10||
2022-02-01|0001|C.12.a.11||
2022-02-01|0001|C.12.a.12||
2022-02-01|0001|C.12.a.2||
2022-02-01|0001|C.12.a.3||
2022-02-01|0001|C.12.a.4||
2022-02-01|0001|C.12.a.5||
2022-02-01|0001|C.12.a.6||
2022-02-01|0001|C.12.a.7||
2022-02-01|0001|C.12.a.8||
2022-02-01|0001|C.12.a.9||
2022-02-01|0001|C.12.b||
2022-02-01|0001|C.3.a|N|
2022-02-01|0001|C.3.b|Y|
2022-02-01|0001|C.3.c|28|28
2022-02-01|0001|C.3.d|28|28
2022-02-01|0001|C.9.a|7080|7128
2022-02-01|0001|C.9.b||
2022-02-01|0001|C.9.c||5031
2022-02-01|0001|C.9.d||
2022-02-01|0001|E.1.a.1||
2022-02-01|0001|E.1.a.2||
