DataMonth|DMISID|QuestionNum|Value1|Value2
2022-04-01|0001|B.1.a|3.3.9 CF 8.2.1|
2022-04-01|0001|B.1.b|4.630 CP 452|
2022-04-01|0001|B.1.c|213.03.0029|
2022-04-01|0001|B.4.e||
2022-04-01|0001|B.5.a|3269|3405
2022-04-01|0001|B.5.b||
2022-04-01|0001|B.5.d|3575|3959
2022-04-01|0001|B.8.b||
2022-04-01|0001|C.1.e|517|604
2022-04-01|0001|C.1.f|508|604
2022-04-01|0001|C.11.a|45|
2022-04-01|0001|C.11.a.1|11|
2022-04-01|0001|C.11.a.10||
2022-04-01|0001|C.11.a.11||
2022-04-01|0001|C.11.a.12||
2022-04-01|0001|C.11.a.2|4|
2022-04-01|0001|C.11.a.3|1|
2022-04-01|0001|C.11.a.4|8|
2022-04-01|0001|C.11.a.5|5|
2022-04-01|0001|C.11.a.6|6|
2022-04-01|0001|C.11.a.7|10|
2022-04-01|0001|C.11.a.8||
2022-04-01|0001|C.11.a.9||
2022-04-01|0001|C.11.b|532|
2022-04-01|0001|C.11.b.1|335|
2022-04-01|0001|C.11.b.2|197|
2022-04-01|0001|C.12.a||
2022-04-01|0001|C.12.a.1||
2022-04-01|0001|C.12.a.10||
2022-04-01|0001|C.12.a.11||
2022-04-01|0001|C.12.a.12||
2022-04-01|0001|C.12.a.2||
2022-04-01|0001|C.12.a.3||
2022-04-01|0001|C.12.a.4||
2022-04-01|0001|C.12.a.5||
2022-04-01|0001|C.12.a.6||
2022-04-01|0001|C.12.a.7||
2022-04-01|0001|C.12.a.8||
2022-04-01|0001|C.12.a.9||
2022-04-01|0001|C.12.b||
2022-04-01|0001|C.3.a|N|
2022-04-01|0001|C.3.b|Y|
2022-04-01|0001|C.3.c|30|30
2022-04-01|0001|C.3.d|30|30
2022-04-01|0001|C.9.a|7356|7366
2022-04-01|0001|C.9.b||
2022-04-01|0001|C.9.c||5049
2022-04-01|0001|C.9.d||
2022-04-01|0001|E.1.a.1||
2022-04-01|0001|E.1.a.2||
2022-04-01|0001|E.1.a.3||
2022-04-01|0001|E.1.a.4||
2022-04-01|0001|E.1.a.5||
2022-04-01|0001|E.1.a.6||
2022-04-01|0001|E.1.a.7||
2022-04-01|0001|E.1.a.8||
2022-04-01|0001|E.1.b.1||
2022-04-01|0001|E.1.b.2||
2022-04-01|0001|E.1.b.3||
2022-04-01|0001|E.1.b.4||
2022-04-01|0001|E.1.b.5||
2022-04-01|0001|E.1.b.6||
2022-04-01|0001|E.1.b.7||
2022-04-01|0001|E.1.b.8||
2022-04-01|0003|B.1.a|3.3.9 CF 8.2.1|
2022-04-01|0003|B.1.b|4.630 CP 452|
2022-04-01|0003|B.1.c|213.03.0029|
2022-04-01|0003|B.4.e|32|
2022-04-01|0003|B.5.a|7304|7631
2022-04-01|0003|B.5.b||
2022-04-01|0003|B.5.d|3608|3960
2022-04-01|0003|B.8.b||
2022-04-01|0003|C.1.e|975|1015
2022-04-01|0003|C.1.f|974|1014
2022-04-01|0003|C.11.a|27|
2022-04-01|0003|C.11.a.1||
2022-04-01|0003|C.11.a.10||
2022-04-01|0003|C.11.a.11||
2022-04-01|0003|C.11.a.12||
2022-04-01|0003|C.11.a.2|2|
2022-04-01|0003|C.11.a.3|2|
2022-04-01|0003|C.11.a.4|4|
2022-04-01|0003|C.11.a.5|12|
2022-04-01|0003|C.11.a.6|1|
2022-04-01|0003|C.11.a.7|6|
2022-04-01|0003|C.11.a.8||
2022-04-01|0003|C.11.a.9||
2022-04-01|0003|C.11.b|92|
2022-04-01|0003|C.11.b.1|80|
2022-04-01|0003|C.11.b.2|12|
2022-04-01|0003|C.12.a||
2022-04-01|0003|C.12.a.1||
2022-04-01|0003|C.12.a.10||
2022-04-01|0003|C.12.a.11||
2022-04-01|0003|C.12.a.12||
2022-04-01|0003|C.12.a.2||
2022-04-01|0003|C.12.a.3||
2022-04-01|0003|C.12.a.4||
2022-04-01|0003|C.12.a.5||
2022-04-01|0003|C.12.a.6||
2022-04-01|0003|C.12.a.7||
2022-04-01|0003|C.12.a.8||
2022-04-01|0003|C.12.a.9||
2022-04-01|0003|C.12.b||
2022-04-01|0003|C.3.a|N|
2022-04-01|0003|C.3.b|Y|
2022-04-01|0003|C.3.c|30|30
2022-04-01|0003|C.3.d|30|30
2022-04-01|0003|C.9.a|11585|11591
2022-04-01|0003|C.9.b||
2022-04-01|0003|C.9.c||10568
2022-04-01|0003|C.9.d||
2022-04-01|0003|E.1.a.1||
2022-04-01|0003|E.1.a.2||
2022-04-01|0003|E.1.a.3||
2022-04-01|0003|E.1.a.4||
2022-04-01|0003|E.1.a.5||
2022-04-01|0003|E.1.a.6||
2022-04-01|0003|E.1.a.7||
2022-04-01|0003|E.1.a.8||
2022-04-01|0003|E.1.b.1||
2022-04-01|0003|E.1.b.2|1|
2022-04-01|0003|E.1.b.3||
2022-04-01|0003|E.1.b.4||
2022-04-01|0003|E.1.b.5||
2022-04-01|0003|E.1.b.6||
2022-04-01|0003|E.1.b.7||
2022-04-01|0003|E.1.b.8|1|
2022-04-01|0004|B.1.a|3.3.9 CF 8.2.1|
2022-04-01|0004|B.1.b|4.630 CP 452|
2022-04-01|0004|B.1.c|213.03.0029|
2022-04-01|0004|B.4.e||
2022-04-01|0004|B.5.a|3873|4079
2022-04-01|0004|B.5.b||
2022-04-01|0004|B.5.d|3690|4105
2022-04-01|0004|B.8.b||
2022-04-01|0004|C.1.e|851|852
2022-04-01|0004|C.1.f|853|853
2022-04-01|0004|C.11.a|12|
2022-04-01|0004|C.11.a.1||
2022-04-01|0004|C.11.a.10||
2022-04-01|0004|C.11.a.11||
2022-04-01|0004|C.11.a.12||
2022-04-01|0004|C.11.a.2||
2022-04-01|0004|C.11.a.3||
2022-04-01|0004|C.11.a.4||
2022-04-01|0004|C.11.a.5||
2022-04-01|0004|C.11.a.6|1|
2022-04-01|0004|C.11.a.7|11|
2022-04-01|0004|C.11.a.8||
2022-04-01|0004|C.11.a.9||
2022-04-01|0004|C.11.b|8|
2022-04-01|0004|C.11.b.1|5|
2022-04-01|0004|C.11.b.2|3|
2022-04-01|0004|C.12.a||
2022-04-01|0004|C.12.a.1||
2022-04-01|0004|C.12.a.10||
2022-04-01|0004|C.12.a.11||
2022-04-01|0004|C.12.a.12||
2022-04-01|0004|C.12.a.2||
2022-04-01|0004|C.12.a.3||
2022-04-01|0004|C.12.a.4||
2022-04-01|0004|C.12.a.5||
2022-04-01|0004|C.12.a.6||
2022-04-01|0004|C.12.a.7||
2022-04-01|0004|C.12.a.8||
2022-04-01|0004|C.12.a.9||
2022-04-01|0004|C.12.b||
2022-04-01|0004|C.3.a|N|
2022-04-01|0004|C.3.b|Y|
2022-04-01|0004|C.3.c|30|30
2022-04-01|0004|C.3.d|30|30
2022-04-01|0004|C.9.a|8176|8187
2022-04-01|0004|C.9.b||
2022-04-01|0004|C.9.c||4832
2022-04-01|0004|C.9.d||
2022-04-01|0004|E.1.a.1||
2022-04-01|0004|E.1.a.2||
2022-04-01|0004|E.1.a.3||
2022-04-01|0004|E.1.a.4||
2022-04-01|0004|E.1.a.5||
2022-04-01|0004|E.1.a.6||
2022-04-01|0004|E.1.a.7||
2022-04-01|0004|E.1.a.8||
2022-04-01|0004|E.1.b.1||
2022-04-01|0004|E.1.b.2|1|
2022-04-01|0004|E.1.b.3||
2022-04-01|0004|E.1.b.4||
2022-04-01|0004|E.1.b.5||
2022-04-01|0004|E.1.b.6||
2022-04-01|0004|E.1.b.7||
2022-04-01|0004|E.1.b.8||
2022-04-01|0005|B.1.a||
2022-04-01|0005|B.1.b||
2022-04-01|0005|B.1.c||
2022-04-01|0005|B.4.e||
2022-04-01|0005|B.5.a||
2022-04-01|0005|B.5.b||
2022-04-01|0005|B.5.d||
2022-04-01|0005|B.8.b|68|
2022-04-01|0005|C.1.e|2358|2705
2022-04-01|0005|C.1.f|2404|2702
2022-04-01|0005|C.11.a||
2022-04-01|0005|C.11.a.1||
2022-04-01|0005|C.11.a.10||
2022-04-01|0005|C.11.a.11||
2022-04-01|0005|C.11.a.12||
2022-04-01|0005|C.11.a.2||
2022-04-01|0005|C.11.a.3||
2022-04-01|0005|C.11.a.4||
2022-04-01|0005|C.11.a.5||
2022-04-01|0005|C.11.a.6||
2022-04-01|0005|C.11.a.7||
2022-04-01|0005|C.11.a.8||
2022-04-01|0005|C.11.a.9||
2022-04-01|0005|C.11.b||
2022-04-01|0005|C.11.b.1||
2022-04-01|0005|C.11.b.2||
2022-04-01|0005|C.12.a||
2022-04-01|0005|C.12.a.1||
2022-04-01|0005|C.12.a.10||
2022-04-01|0005|C.12.a.11||
2022-04-01|0005|C.12.a.12||
2022-04-01|0005|C.12.a.2||
2022-04-01|0005|C.12.a.3||
2022-04-01|0005|C.12.a.4||
2022-04-01|0005|C.12.a.5||
2022-04-01|0005|C.12.a.6||
2022-04-01|0005|C.12.a.7||
2022-04-01|0005|C.12.a.8||
2022-04-01|0005|C.12.a.9||
2022-04-01|0005|C.12.b||
2022-04-01|0005|C.3.a|N|
2022-04-01|0005|C.3.b||
2022-04-01|0005|C.3.c||
2022-04-01|0005|C.3.d||
2022-04-01|0005|C.9.a||
2022-04-01|0005|C.9.b||
2022-04-01|0005|C.9.c||
2022-04-01|0005|C.9.d||
2022-04-01|0005|E.1.a.1||
2022-04-01|0005|E.1.a.2||
2022-04-01|0005|E.1.a.3|1|
2022-04-01|0005|E.1.a.4||
2022-04-01|0005|E.1.a.5||
2022-04-01|0005|E.1.a.6||
2022-04-01|0005|E.1.a.7||
2022-04-01|0005|E.1.a.8|27|
2022-04-01|0005|E.1.b.1|1|
2022-04-01|0005|E.1.b.2||
2022-04-01|0005|E.1.b.3||
2022-04-01|0005|E.1.b.4||
2022-04-01|0005|E.1.b.5||
2022-04-01|0005|E.1.b.6||
2022-04-01|0005|E.1.b.7||
2022-04-01|0005|E.1.b.8|54|
2022-04-01|0006|B.1.a||
2022-04-01|0006|B.1.b||
2022-04-01|0006|B.1.c||
2022-04-01|0006|B.4.e||
2022-04-01|0006|B.5.a||
2022-04-01|0006|B.5.b||
2022-04-01|0006|B.5.d||
2022-04-01|0006|B.8.b|5465|
2022-04-01|0006|C.1.e|3575|3667
2022-04-01|0006|C.1.f|3661|3664
2022-04-01|0006|C.11.a||
2022-04-01|0006|C.11.a.1||
2022-04-01|0006|C.11.a.10||
2022-04-01|0006|C.11.a.11||
2022-04-01|0006|C.11.a.12||
