DataMonth|DMISID|QuestionNum|Value1|Value2
2022-03-01|0001|B.1.a|3.3.9 CF 8.2.1|
2022-03-01|0001|B.1.b|4.630 CP 452|
2022-03-01|0001|B.1.c|213.03.0029|
2022-03-01|0001|B.4.e||
2022-03-01|0001|B.5.a|3546|3676
2022-03-01|0001|B.5.b||
2022-03-01|0001|B.5.d|4064|4642
2022-03-01|0001|B.8.b||
2022-03-01|0001|C.1.e|534|600
2022-03-01|0001|C.1.f|527|597
2022-03-01|0001|C.11.a|94|
2022-03-01|0001|C.11.a.1|11|
2022-03-01|0001|C.11.a.10||
2022-03-01|0001|C.11.a.11||
2022-03-01|0001|C.11.a.12||
2022-03-01|0001|C.11.a.2|7|
2022-03-01|0001|C.11.a.3|1|
2022-03-01|0001|C.11.a.4|11|
2022-03-01|0001|C.11.a.5|35|
2022-03-01|0001|C.11.a.6|29|
2022-03-01|0001|C.11.a.7||
2022-03-01|0001|C.11.a.8||
2022-03-01|0001|C.11.a.9||
2022-03-01|0001|C.11.b|577|
2022-03-01|0001|C.11.b.1|335|
2022-03-01|0001|C.11.b.2|242|
2022-03-01|0001|C.12.a||
2022-03-01|0001|C.12.a.1||
2022-03-01|0001|C.12.a.10||
2022-03-01|0001|C.12.a.11||
2022-03-01|0001|C.12.a.12||
2022-03-01|0001|C.12.a.2||
2022-03-01|0001|C.12.a.3||
2022-03-01|0001|C.12.a.4||
2022-03-01|0001|C.12.a.5||
2022-03-01|0001|C.12.a.6||
2022-03-01|0001|C.12.a.7||
2022-03-01|0001|C.12.a.8||
2022-03-01|0001|C.12.a.9||
2022-03-01|0001|C.12.b||
2022-03-01|0001|C.3.a|N|
2022-03-01|0001|C.3.b|Y|
2022-03-01|0001|C.3.c|31|31
2022-03-01|0001|C.3.d|31|31
2022-03-01|0001|C.9.a|8293|8318
2022-03-01|0001|C.9.b||
2022-03-01|0001|C.9.c||5720
2022-03-01|0001|C.9.d||
2022-03-01|0001|E.1.a.1||
2022-03-01|0001|E.1.a.2||
2022-03-01|0001|E.1.a.3||
2022-03-01|0001|E.1.a.4||
2022-03-01|0001|E.1.a.5||
2022-03-01|0001|E.1.a.6||
2022-03-01|0001|E.1.a.7||
2022-03-01|0001|E.1.a.8||
2022-03-01|0001|E.1.b.1||
2022-03-01|0001|E.1.b.2||
2022-03-01|0001|E.1.b.3||
2022-03-01|0001|E.1.b.4|3|
2022-03-01|0001|E.1.b.5||
2022-03-01|0001|E.1.b.6||
2022-03-01|0001|E.1.b.7||
2022-03-01|0001|E.1.b.8||
2022-03-01|0003|B.1.a|3.3.9 CF 8.2.1|
2022-03-01|0003|B.1.b|4.630 CP 452|
2022-03-01|0003|B.1.c|213.03.0029|
2022-03-01|0003|B.4.e|22|
2022-03-01|0003|B.5.a|8442|8712
2022-03-01|0003|B.5.b||
2022-03-01|0003|B.5.d|3906|4172
2022-03-01|0003|B.8.b||
2022-03-01|0003|C.1.e|984|1021
2022-03-01|0003|C.1.f|968|1020
2022-03-01|0003|C.11.a|34|
2022-03-01|0003|C.11.a.1||
2022-03-01|0003|C.11.a.10||
2022-03-01|0003|C.11.a.11||
2022-03-01|0003|C.11.a.12||
2022-03-01|0003|C.11.a.2|2|
2022-03-01|0003|C.11.a.3|4|
2022-03-01|0003|C.11.a.4|4|
2022-03-01|0003|C.11.a.5|12|
2022-03-01|0003|C.11.a.6|12|
2022-03-01|0003|C.11.a.7||
2022-03-01|0003|C.11.a.8||
2022-03-01|0003|C.11.a.9||
2022-03-01|0003|C.11.b|92|
2022-03-01|0003|C.11.b.1|80|
2022-03-01|0003|C.11.b.2|12|
2022-03-01|0003|C.12.a||
2022-03-01|0003|C.12.a.1||
2022-03-01|0003|C.12.a.10||
2022-03-01|0003|C.12.a.11||
2022-03-01|0003|C.12.a.12||
2022-03-01|0003|C.12.a.2||
2022-03-01|0003|C.12.a.3||
2022-03-01|0003|C.12.a.4||
2022-03-01|0003|C.12.a.5||
2022-03-01|0003|C.12.a.6||
2022-03-01|0003|C.12.a.7||
2022-03-01|0003|C.12.a.8||
2022-03-01|0003|C.12.a.9||
2022-03-01|0003|C.12.b||
2022-03-01|0003|C.3.a|N|
2022-03-01|0003|C.3.b|Y|
2022-03-01|0003|C.3.c|31|31
2022-03-01|0003|C.3.d|31|31
2022-03-01|0003|C.9.a|12880|12884
2022-03-01|0003|C.9.b||
2022-03-01|0003|C.9.c||11768
2022-03-01|0003|C.9.d||
2022-03-01|0003|E.1.a.1||
2022-03-01|0003|E.1.a.2|1|
2022-03-01|0003|E.1.a.3||
2022-03-01|0003|E.1.a.4||
2022-03-01|0003|E.1.a.5||
2022-03-01|0003|E.1.a.6||
2022-03-01|0003|E.1.a.7||
2022-03-01|0003|E.1.a.8|1|
2022-03-01|0003|E.1.b.1||
2022-03-01|0003|E.1.b.2||
2022-03-01|0003|E.1.b.3||
2022-03-01|0003|E.1.b.4||
2022-03-01|0003|E.1.b.5||
2022-03-01|0003|E.1.b.6||
2022-03-01|0003|E.1.b.7||
2022-03-01|0003|E.1.b.8||
2022-03-01|0004|B.1.a|3.3.9 CF 8.2.1|
2022-03-01|0004|B.1.b|4.630 CP 452|
2022-03-01|0004|B.1.c|213.03.0029|
2022-03-01|0004|B.4.e|1|
2022-03-01|0004|B.5.a|4587|4809
2022-03-01|0004|B.5.b||
2022-03-01|0004|B.5.d|4209|4770
2022-03-01|0004|B.8.b||
2022-03-01|0004|C.1.e|846|847
2022-03-01|0004|C.1.f|848|849
2022-03-01|0004|C.11.a|91|
2022-03-01|0004|C.11.a.1||
2022-03-01|0004|C.11.a.10||
2022-03-01|0004|C.11.a.11||
2022-03-01|0004|C.11.a.12||
2022-03-01|0004|C.11.a.2||
2022-03-01|0004|C.11.a.3||
2022-03-01|0004|C.11.a.4||
2022-03-01|0004|C.11.a.5|36|
2022-03-01|0004|C.11.a.6|55|
2022-03-01|0004|C.11.a.7||
2022-03-01|0004|C.11.a.8||
2022-03-01|0004|C.11.a.9||
2022-03-01|0004|C.11.b|8|
2022-03-01|0004|C.11.b.1|5|
2022-03-01|0004|C.11.b.2|3|
2022-03-01|0004|C.12.a||
2022-03-01|0004|C.12.a.1||
2022-03-01|0004|C.12.a.10||
2022-03-01|0004|C.12.a.11||
2022-03-01|0004|C.12.a.12||
2022-03-01|0004|C.12.a.2||
2022-03-01|0004|C.12.a.3||
2022-03-01|0004|C.12.a.4||
2022-03-01|0004|C.12.a.5||
2022-03-01|0004|C.12.a.6||
2022-03-01|0004|C.12.a.7||
2022-03-01|0004|C.12.a.8||
2022-03-01|0004|C.12.a.9||
2022-03-01|0004|C.12.b||
2022-03-01|0004|C.3.a|N|
